x,y,z,J
3.0,4.0,3.0,0.768
3.0,4.0,4.0,0.768
3.0,4.0,6.0,0.769
3.0,4.0,7.0,0.769
3.0,4.0,8.0,0.77
3.0,4.0,9.0,0.771
3.0,4.0,10.0,0.771
3.0,5.0,0.0,0.764
3.0,5.0,1.0,0.768
3.0,5.0,2.0,0.768
3.0,5.0,3.0,0.769
3.0,5.0,4.0,0.769
3.0,5.0,6.0,0.769
3.0,5.0,7.0,0.769
3.0,5.0,8.0,0.77
3.0,5.0,9.0,0.771
3.0,5.0,10.0,0.77
3.0,6.0,0.0,0.764
3.0,6.0,1.0,0.769
3.0,6.0,2.0,0.77
3.0,6.0,3.0,0.77
3.0,6.0,4.0,0.77
3.0,6.0,6.0,0.77
3.0,6.0,7.0,0.77
3.0,6.0,8.0,0.77
3.0,6.0,9.0,0.77
3.0,6.0,10.0,0.77
3.0,7.0,0.0,0.763
3.0,7.0,1.0,0.77
3.0,7.0,2.0,0.772
3.0,7.0,3.0,0.773
3.0,7.0,4.0,0.772
3.0,7.0,6.0,0.771
3.0,7.0,7.0,0.77
3.0,7.0,8.0,0.77
3.0,7.0,9.0,0.77
3.0,7.0,10.0,0.768
3.0,8.0,0.0,0.762
3.0,8.0,1.0,0.773
3.0,8.0,2.0,0.776
3.0,8.0,3.0,0.776
3.0,8.0,4.0,0.776
3.0,8.0,6.0,0.774
3.0,8.0,7.0,0.771
3.0,8.0,8.0,0.769
3.0,8.0,9.0,0.769
3.0,8.0,10.0,0.766
3.0,9.0,0.0,0.76
3.0,9.0,1.0,0.78
3.0,9.0,2.0,0.781
3.0,9.0,3.0,0.78
3.0,9.0,4.0,0.781
3.0,9.0,6.0,0.779
3.0,9.0,7.0,0.773
3.0,9.0,8.0,0.768
3.0,9.0,9.0,0.767
3.0,9.0,10.0,0.763
3.0,10.0,0.0,0.737
3.0,10.0,1.0,0.743
3.0,10.0,2.0,0.734
3.0,10.0,3.0,0.742
3.0,10.0,4.0,0.751
3.0,10.0,6.0,0.753
3.0,10.0,7.0,0.742
3.0,10.0,8.0,0.724
3.0,10.0,9.0,0.715
3.0,10.0,10.0,0.717
3.0,11.0,0.0,0.748
3.0,11.0,1.0,0.793
3.0,11.0,2.0,0.788
3.0,11.0,3.0,0.801
3.0,11.0,4.0,0.809
3.0,11.0,6.0,0.811
3.0,11.0,7.0,0.807
3.0,11.0,8.0,0.789
3.0,11.0,9.0,0.769
3.0,11.0,10.0,0.771
3.0,12.0,0.0,0.751
3.0,12.0,1.0,0.773
3.0,12.0,2.0,0.777
3.0,12.0,3.0,0.807
3.0,12.0,4.0,0.808
3.0,12.0,6.0,0.806
3.0,12.0,7.0,0.815
3.0,12.0,8.0,0.8
3.0,12.0,9.0,0.752
3.0,12.0,10.0,0.741
3.0,13.0,0.0,0.741
3.0,13.0,1.0,0.749
3.0,13.0,2.0,0.811
3.0,13.0,3.0,0.834
3.0,13.0,4.0,0.825
3.0,13.0,6.0,0.823
3.0,13.0,7.0,0.831
3.0,13.0,8.0,0.839
3.0,13.0,9.0,0.771
3.0,13.0,10.0,0.696
3.0,14.0,0.0,0.658
3.0,14.0,1.0,0.81
3.0,14.0,2.0,0.894
3.0,14.0,3.0,0.874
3.0,14.0,4.0,0.864
3.0,14.0,6.0,0.863
3.0,14.0,7.0,0.869
3.0,14.0,8.0,0.89
3.0,14.0,9.0,0.876
3.0,14.0,10.0,0.62
3.0,15.0,1.0,1.103
3.0,15.0,2.0,1.101
3.0,15.0,3.0,1.085
3.0,15.0,4.0,1.079
3.0,15.0,6.0,1.081
3.0,15.0,7.0,1.09
3.0,15.0,8.0,1.104
3.0,15.0,9.0,1.131
3.0,15.0,10.0,0.889
4.0,0.0,0.0,0.765
4.0,0.0,1.0,0.767
4.0,0.0,2.0,0.767
4.0,0.0,3.0,0.767
4.0,0.0,4.0,0.768
4.0,0.0,6.0,0.768
4.0,0.0,7.0,0.769
4.0,0.0,8.0,0.77
4.0,0.0,9.0,0.771
4.0,0.0,10.0,0.772
4.0,1.0,0.0,0.765
4.0,1.0,1.0,0.767
4.0,1.0,2.0,0.767
4.0,1.0,3.0,0.767
4.0,1.0,4.0,0.768
4.0,1.0,6.0,0.768
4.0,1.0,7.0,0.769
4.0,1.0,8.0,0.77
4.0,1.0,9.0,0.771
4.0,1.0,10.0,0.772
4.0,2.0,0.0,0.765
4.0,2.0,1.0,0.767
4.0,2.0,2.0,0.767
4.0,2.0,3.0,0.767
4.0,2.0,4.0,0.768
4.0,2.0,6.0,0.768
4.0,2.0,7.0,0.769
4.0,2.0,8.0,0.77
4.0,2.0,9.0,0.771
4.0,2.0,10.0,0.772
4.0,3.0,0.0,0.765
4.0,3.0,1.0,0.767
4.0,3.0,2.0,0.767
4.0,3.0,3.0,0.768
4.0,3.0,4.0,0.768
4.0,3.0,6.0,0.769
4.0,3.0,7.0,0.769
4.0,3.0,8.0,0.77
4.0,3.0,9.0,0.771
4.0,3.0,10.0,0.771
4.0,4.0,0.0,0.765
4.0,4.0,1.0,0.768
4.0,4.0,2.0,0.768
4.0,4.0,3.0,0.768
4.0,4.0,4.0,0.768
4.0,4.0,6.0,0.769
4.0,4.0,7.0,0.769
4.0,4.0,8.0,0.77
4.0,4.0,9.0,0.771
4.0,4.0,10.0,0.771
4.0,5.0,0.0,0.764
4.0,5.0,1.0,0.768
4.0,5.0,2.0,0.768
4.0,5.0,3.0,0.769
4.0,5.0,4.0,0.769
4.0,5.0,6.0,0.769
4.0,5.0,7.0,0.769
4.0,5.0,8.0,0.77
4.0,5.0,9.0,0.771
4.0,5.0,10.0,0.77
4.0,6.0,0.0,0.764
4.0,6.0,1.0,0.769
4.0,6.0,2.0,0.77
4.0,6.0,3.0,0.77
4.0,6.0,4.0,0.77
4.0,6.0,6.0,0.77
4.0,6.0,7.0,0.77
4.0,6.0,8.0,0.77
4.0,6.0,9.0,0.77
4.0,6.0,10.0,0.77
4.0,7.0,0.0,0.763
4.0,7.0,1.0,0.77
4.0,7.0,2.0,0.772
4.0,7.0,3.0,0.773
4.0,7.0,4.0,0.772
4.0,7.0,6.0,0.771
4.0,7.0,7.0,0.77
4.0,7.0,8.0,0.77
4.0,7.0,9.0,0.77
4.0,7.0,10.0,0.768
4.0,8.0,0.0,0.762
4.0,8.0,1.0,0.773
4.0,8.0,2.0,0.776
4.0,8.0,3.0,0.776
4.0,8.0,4.0,0.775
4.0,8.0,6.0,0.774
4.0,8.0,7.0,0.771
4.0,8.0,8.0,0.769
4.0,8.0,9.0,0.769
4.0,8.0,10.0,0.766
4.0,9.0,0.0,0.759
4.0,9.0,1.0,0.78
4.0,9.0,2.0,0.781
4.0,9.0,3.0,0.78
4.0,9.0,4.0,0.78
4.0,9.0,6.0,0.779
4.0,9.0,7.0,0.773
4.0,9.0,8.0,0.768
4.0,9.0,9.0,0.768
4.0,9.0,10.0,0.763
4.0,12.0,0.0,0.749
4.0,12.0,1.0,0.773
4.0,12.0,2.0,0.783
4.0,12.0,3.0,0.815
4.0,12.0,4.0,0.815
4.0,12.0,6.0,0.813
4.0,12.0,7.0,0.822
4.0,12.0,8.0,0.811
4.0,12.0,9.0,0.754
4.0,12.0,10.0,0.736
4.0,13.0,0.0,0.744
4.0,13.0,1.0,0.743
4.0,13.0,2.0,0.816
4.0,13.0,3.0,0.835
4.0,13.0,4.0,0.824
4.0,13.0,6.0,0.822
4.0,13.0,7.0,0.83
4.0,13.0,8.0,0.84
4.0,13.0,9.0,0.773
4.0,13.0,10.0,0.688
4.0,14.0,0.0,0.659
4.0,14.0,1.0,0.813
4.0,14.0,2.0,0.891
4.0,14.0,3.0,0.87
4.0,14.0,4.0,0.86
4.0,14.0,6.0,0.859
4.0,14.0,7.0,0.866
4.0,14.0,8.0,0.886
4.0,14.0,9.0,0.876
4.0,14.0,10.0,0.616
5.0,0.0,0.0,0.765
5.0,0.0,1.0,0.767
5.0,0.0,2.0,0.767
5.0,0.0,3.0,0.767
5.0,0.0,4.0,0.768
5.0,0.0,6.0,0.768
5.0,0.0,7.0,0.769
5.0,0.0,8.0,0.77
5.0,0.0,9.0,0.771
5.0,0.0,10.0,0.772
5.0,1.0,0.0,0.765
5.0,1.0,1.0,0.767
5.0,1.0,2.0,0.767
5.0,1.0,3.0,0.767
5.0,1.0,4.0,0.768
5.0,1.0,6.0,0.768
5.0,1.0,7.0,0.769
5.0,1.0,8.0,0.77
5.0,1.0,9.0,0.771
5.0,1.0,10.0,0.772
5.0,2.0,0.0,0.765
5.0,2.0,1.0,0.767
5.0,2.0,2.0,0.767
5.0,2.0,3.0,0.767
5.0,2.0,4.0,0.768
5.0,2.0,6.0,0.768
5.0,2.0,7.0,0.769
5.0,2.0,8.0,0.77
5.0,2.0,9.0,0.771
5.0,2.0,10.0,0.772
5.0,3.0,0.0,0.765
5.0,3.0,1.0,0.767
5.0,3.0,2.0,0.767
5.0,3.0,3.0,0.768
5.0,3.0,4.0,0.768
5.0,3.0,6.0,0.769
5.0,3.0,7.0,0.769
5.0,3.0,8.0,0.77
5.0,3.0,9.0,0.771
5.0,3.0,10.0,0.771
5.0,4.0,0.0,0.764
5.0,4.0,1.0,0.768
5.0,4.0,2.0,0.768
5.0,4.0,3.0,0.768
5.0,4.0,4.0,0.769
5.0,4.0,6.0,0.769
5.0,4.0,7.0,0.769
5.0,4.0,8.0,0.77
5.0,4.0,9.0,0.771
5.0,4.0,10.0,0.771
5.0,5.0,0.0,0.764
5.0,5.0,1.0,0.768
5.0,5.0,2.0,0.768
5.0,5.0,3.0,0.769
5.0,5.0,4.0,0.769
5.0,5.0,6.0,0.769
5.0,5.0,7.0,0.769
5.0,5.0,8.0,0.77
5.0,5.0,9.0,0.771
5.0,5.0,10.0,0.77
5.0,6.0,0.0,0.763
5.0,6.0,1.0,0.769
5.0,6.0,2.0,0.77
5.0,6.0,3.0,0.77
5.0,6.0,4.0,0.77
5.0,6.0,6.0,0.77
5.0,6.0,7.0,0.77
5.0,6.0,8.0,0.77
5.0,6.0,9.0,0.771
5.0,6.0,10.0,0.77
5.0,7.0,0.0,0.763
5.0,7.0,1.0,0.77
5.0,7.0,2.0,0.772
5.0,7.0,3.0,0.773
5.0,7.0,4.0,0.772
5.0,7.0,6.0,0.771
5.0,7.0,7.0,0.77
5.0,7.0,8.0,0.77
5.0,7.0,9.0,0.77
5.0,7.0,10.0,0.768
5.0,8.0,0.0,0.762
5.0,8.0,1.0,0.772
5.0,8.0,2.0,0.776
5.0,8.0,3.0,0.776
5.0,8.0,4.0,0.775
5.0,8.0,6.0,0.774
5.0,8.0,7.0,0.771
5.0,8.0,8.0,0.769
5.0,8.0,9.0,0.769
5.0,8.0,10.0,0.766
5.0,9.0,0.0,0.758
5.0,9.0,1.0,0.78
5.0,9.0,2.0,0.781
5.0,9.0,3.0,0.78
5.0,9.0,4.0,0.78
5.0,9.0,6.0,0.778
5.0,9.0,7.0,0.773
